"sku","qty"
"ele7858d28grc","0.0000"
"ele7858d28crc","0.0000"
"ele7958d28crc","0.0000"
"ele7958d28grc","0.0000"
"elev2032w18cgtrc","0.0000"
"ele1900d16grc","0.0000"
"ele1900d16crc","0.0000"
"ele1900f20grc","0.0000"
"ele1900f20crc","0.0000"
"ele2031f14crc","0.0000"
"ele2033w30crc","0.0000"
"ele2032f14crc","0.0000"
"ele9800d24grc","0.0000"
"ele2015d26dbrc","0.0000"
"ele2801d20ggtrc","0.0000"
"ele2801d20cgtrc","0.0000"
"ele2015d26grc","0.0000"
"ele2015d26crc","0.0000"
"ele9205f18fgrc","0.0000"
"ele9205f18dbrc","0.0000"
"ele9205f18pwrc","0.0000"
"elev2033w18cgtrc","0.0000"
"elev2033w18cssrc","0.0000"
"ele9605w21dbrc","0.0000"
"ele9605w21fgrc","0.0000"
"ele9605w21pwrc","0.0000"
"ele7855d21cgtrc","0.0000"
"ele7955d21cgtrc","0.0000"
"ele2032w36crc","0.0000"
"elev2032w26cgtrc","0.0000"
"ele2031f16crc","0.0000"
"ele2033f14crc","0.0000"
"ele2528f20crc","0.0000"
"ele2528f20grc","0.0000"
"ele8002d22crc","0.0000"
"ele8002d22grc","0.0000"
"ele9204d17dbgtrc","0.0000"
"ele9204d17fggtrc","0.0000"
"ele9204d17pwgtrc","0.0000"
"ele2033w36crc","0.0000"
"elev2033w26cgtrc","0.0000"
"elev2033w26cssrc","0.0000"
"ele2034f20crc","0.0000"
"ele6801d21crc","0.0000"
"ele6801d21grc","0.0000"
"ele2035f20crc","0.0000"
"ele9205d18dbrc","0.0000"
"ele9205d18fgrc","0.0000"
"ele9205d18pwrc","0.0000"
"eleeca1d18crc","0.0000"
"eleeca1d18grc","0.0000"
"elev2032w30cgtrc","0.0000"
"ele2016d26grc","0.0000"
"ele2016d26crc","0.0000"
"ele9205f18fggtrc","0.0000"
"ele9205f18dbgtrc","0.0000"
"ele9205f18pwgtrc","0.0000"
"ele7856d24cgtrc","0.0000"
"ele7956d24cgtrc","0.0000"
"ele1800d16grc","0.0000"
"ele1800d16crc","0.0000"
"ele9605w21fggtrc","0.0000"
"ele9605w21pwgtrc","0.0000"
"elev2033w30cssrc","0.0000"
"elev2033w30cgtrc","0.0000"
"ele1800f20crc","0.0000"
"ele2800d20gtgtrc","0.0000"
"ele2032w44crc","0.0000"
"ele2006d16crc","0.0000"
"ele2030f20crc","0.0000"
"ele2032f16crc","0.0000"
"ele9800d20crc","0.0000"
"ele9800d20grc","0.0000"
"elev2032w36cgtrc","0.0000"
"ele2033f16crc","0.0000"
"ele9205d18dbgtrc","0.0000"
"ele9205d18pwgtrc","0.0000"
"ele9205d18fggtrc","0.0000"
"ele1900d20grc","0.0000"
"ele1900d20crc","0.0000"
"ele2015d28dbrc","0.0000"
"ele2015d28grc","0.0000"
"ele2015d28crc","0.0000"
"ele2528f24grc","0.0000"
"ele2528f24crc","0.0000"
"ele2030d20crc","0.0000"
"ele8949f20grc","0.0000"
"ele8949f20crc","0.0000"
"ele8003d25crc","0.0000"
"ele8003d25grc","0.0000"
"ele9800d28crc","0.0000"
"ele9800d28grc","0.0000"
"elev2033w36cssrc","0.0000"
"elev2033w36cgtrc","0.0000"
"ele2031f20crc","0.0000"
"ele2033w44crc","0.0000"
"ele6801d25crc","0.0000"
"ele2031d20crc","0.0000"
"ele2528d18grc","0.0000"
"ele2528d18crc","0.0000"
"ele8949d20grc","0.0000"
"ele8949d20crc","0.0000"
"ele9206d23dbrc","0.0000"
"ele9206d23pwrc","0.0000"
"ele9206d23fgrc","0.0000"
"ele2800d26grc","0.0000"
"ele2800d26crc","0.0000"
"ele7858d28cgtrc","0.0000"
"ele7958d28cgtrc","0.0000"
"ele2034f24crc","0.0000"
"elev2032w44cgtrc","0.0000"
"ele2034d24crc","0.0000"
"ele2016d28crc","0.0000"
"ele2016d28grc","0.0000"
"ele2035f24crc","0.0000"
"elev1801sr16crc","0.0000"
"elev1801sr16grc","0.0000"
"ele1900d24grc","0.0000"
"ele1900d24crc","0.0000"
"ele1800d20crc","0.0000"
"ele1800d20grc","0.0000"
"ele1800f24crc","0.0000"
"ele1800f24grc","0.0000"
"ele1800sr16crc","0.0000"
"ele1800sr16grc","0.0000"
"ele2006d18crc","0.0000"
"elev2033w44cgtrc","0.0000"
"elev2033w44cssrc","0.0000"
"ele2801d26grc","0.0000"
"ele2801d26crc","0.0000"
"ele9206d23dbgtrc","0.0000"
"ele9206d23pwgtrc","0.0000"
"ele9206d23fggtrc","0.0000"
"ele2006d20crc","0.0000"
"ele2800d26ggtrc","0.0000"
"ele2800d26cgtrc","0.0000"
"ele2528f30grc","0.0000"
"ele2528f30crc","0.0000"
"ele2035d24crc","0.0000"
"ele2030f24crc","0.0000"
"ele2032d20crc","0.0000"
"ele8005g31grc","0.0000"
"ele8005g31crc","0.0000"
"ele2800d27grc","0.0000"
"ele2800d27crc","0.0000"
"ele2030d24crc","0.0000"
"ele2801d26ggtrc","0.0000"
"ele2801d26cgtrc","0.0000"
"ele2011d27crc","0.0000"
"ele2011d27grc","0.0000"
"ele2033d20crc","0.0000"
"ele8949d24grc","0.0000"
"ele8949d24crc","0.0000"
"ele7815g33crc","0.0000"
"ele7815g33grc","0.0000"
"ele7915g33crc","0.0000"
"ele7915g33grc","0.0000"
"ele2006d24crc","0.0000"
"ele2528d22grc","0.0000"
"ele2528d22crc","0.0000"
"ele2031f24crc","0.0000"
"ele9208d24dbrc","0.0000"
"ele9208d24fgrc","0.0000"
"ele9208d24pwrc","0.0000"
"ele2800d26gtgtrc","0.0000"
"ele2801d27crc","0.0000"
"ele2801d27grc","0.0000"
"ele2031d24crc","0.0000"
"ele2030d28crc","0.0000"
"ele2800d27ggtrc","0.0000"
"ele2800d27cgtrc","0.0000"
"ele2800d30grc","0.0000"
"ele2800d30crc","0.0000"
"ele2034d32crc","0.0000"
"ele1800d24crc","0.0000"
