"Shipping Country","Shipping Country"
"Store Owner","Store Owner"
Pending,Pending
Processing,Processing
Rejected,Rejected
Completed,Completed
Canceled,Canceled
"Delete Requests","Delete Requests"
"Are you sure you want to delete selected Requests?","Are you sure you want to delete selected Requests?"
"Browse to find or drag file here","Browse to find or drag file here"
"There are no attached files in this request","There are no attached files in this request"
"Delete image","Delete image"
"Product Name","Product Name"
SKU,SKU
Price,Price
"Quantity returned","Quantity returned"
"Total amount returned","Total amount returned"
"Other Information","Other Information"
"(This product cannot return)","(This product cannot return)"
"There are no reasons.","There are no reasons."
"There are no solutions.","There are no solutions."
"There are no additional fields.","There are no additional fields."
"There are no return items in this request.","There are no return items in this request."
"Export to:","Export to:"
"records found","records found"
selected,selected
"per page","per page"
"Previous page","Previous page"
"of %1","of %1"
"Next page","Next page"
"Attach File","Attach File"
"Reply Template","Reply Template"
Attachment(s),Attachment(s)
"Send email to Customer","Send email to Customer"
"Visible on Frontend","Visible on Frontend"
Submit,Submit
"Load more","Load more"
"Add/Edit Reply Template","Add/Edit Reply Template"
Title,Title
Message,Message
"Add For Store","Add For Store"
Cancel,Cancel
"+ Create new","+ Create new"
Edit,Edit
Insert,Insert
"There are no templates.","There are no templates."
Type,Type
"Is require","Is require"
"Validation Class","Validation Class"
"Sort Order","Sort Order"
Delete,Delete
Add,Add
"There are no additional fields to edit.","There are no additional fields to edit."
"There are no reasons to edit.","There are no reasons to edit."
"There are no solutions to edit.","There are no solutions to edit."
Requests,Requests
"Request ID","Request ID"
"Request Status","Request Status"
"Created Date","Created Date"
"Updated Date","Updated Date"
Action,Action
"See Details","See Details"
"You have no RMA requests.","You have no RMA requests."
"Add New RMA Request","Add New RMA Request"
"Billing Last Name","Billing Last Name"
"Find Order By","Find Order By"
"Billing ZIP Code","Billing ZIP Code"
Continue,Continue
"There are no order to return.","There are no order to return."
"Attach File(s)","Attach File(s)"
"Not larger than %1MB","Not larger than %1MB"
"Browse Files...","Browse Files..."
Loading...,Loading...
"By clicking submit you agree to the Terms and Conditions","By clicking submit you agree to the Terms and Conditions"
Back,Back
Return,Return
Thumbnail,Thumbnail
Quantity,Quantity
"You cannot return products in this Order.","You cannot return products in this Order."
From,From
"Order ID: ","Order ID: "
"RMA ID: ","RMA ID: "
"Print Date: ","Print Date: "
"Request Date: ","Request Date: "
"Ship To","Ship To"
"Order Request Information","Order Request Information"
"Request ID: ","Request ID: "
"Order Increment ID: ","Order Increment ID: "
"Order Created Date: ","Order Created Date: "
"Email Address: ","Email Address: "
"Billing Zip/Postal Code: ","Billing Zip/Postal Code: "
"Phone Number: ","Phone Number: "
"Return Shipping Information","Return Shipping Information"
"Shipping Label: ","Shipping Label: "
"Shipping Address: ","Shipping Address: "
"Print Shipping Label","Print Shipping Label"
"There is no shipping label for this request","There is no shipping label for this request"
"Additional Field","Additional Field"
Qty,Qty
"There is no reason","There is no reason"
"There is no solution","There is no solution"
Content,Content
"The RMA Request","The RMA Request"
"has just been submitted!","has just been submitted!"
"Dear Admin","Dear Admin"
"To check and add additional comments, please login admin account, go to Sales > RMA > Manage RMA Request, and edit the current request","To check and add additional comments, please login admin account, go to Sales > RMA > Manage RMA Request, and edit the current request"
%request_content,%request_content
"Best regards,","Best regards,"
%date,%date
"This email has been generated by Mageplaza RMA. Have any questions or feedback?","This email has been generated by Mageplaza RMA. Have any questions or feedback?"
"Contact us","Contact us"
"The current RMA request","The current RMA request"
"has just been updated with changes!","has just been updated with changes!"
"Reply RMA request","Reply RMA request"
%customer_name,%customer_name
"Your RMA request","Your RMA request"
"has been updated","has been updated"
"To check the status of the request and add additional comments, follow the link here :","To check the status of the request and add additional comments, follow the link here :"
"Please select the order.","Please select the order."
"Please select the returned product.","Please select the returned product."
"Order Grid Form","Order Grid Form"
"Duplicate store view","Duplicate store view"
"Please enter the comments.","Please enter the comments."
"Do you want to cancel this request?","Do you want to cancel this request?"
RMA,RMA
Enable,Enable
"Show RMA for Guest","Show RMA for Guest"
"Customers who do not have account but have order completed still can request RMA.","Customers who do not have account but have order completed still can request RMA."
"Display RMA Request Link at","Display RMA Request Link at"
"RMA Policy Page","RMA Policy Page"
"Display RMA Policy Link on","Display RMA Policy Link on"
"RMA ID Increment Pattern","RMA ID Increment Pattern"
